emp_no,first_name,last_name,gender,dept_no,dept_name,salary,to_date
11180,Mitsuyuki,Bojadziev,F,d005,Development,40000,9999-01-01
11197,Tadahiro,Fordan,M,d007,Sales,88741,9999-01-01
11204,Diederik,Covnot,M,d004,Production,40000,9999-01-01
11207,Saeed,Gips,F,d005,Development,49728,9999-01-01
11208,Saniya,Valtorta,F,d004,Production,83660,9999-01-01
11211,Yurij,Rissland,M,d004,Production,72668,9999-01-01
11217,Kellie,Mawatari,M,d004,Production,40000,9999-01-01
11232,Hidefumi,Crelier,M,d009,Customer Service,43863,9999-01-01
11240,Kiam,Condotta,M,d005,Development,61739,9999-01-01
11249,Randi,Cyre,M,d005,Development,43324,9999-01-01
11251,Bezalel,Chinal,M,d001,Marketing,69432,9999-01-01
11268,Aimee,Petersohn,F,d004,Production,40000,9999-01-01
11275,Hitomi,Eppinger,F,d005,Development,58382,9999-01-01
10988,Chinya,Deyuan,M,d005,Development,54174,9999-01-01
10989,Sumali,Candan,F,d002,Finance,46406,9999-01-01
11290,Visit,Dredge,M,d005,Development,65034,9999-01-01
10990,Shin,Foote,M,d005,Development,40000,9999-01-01
11295,Abdelkader,Lanzelotte,M,d002,Finance,66622,9999-01-01
11009,Alper,Axelband,F,d007,Sales,75111,9999-01-01
11012,Taegyun,Speckmann,F,d009,Customer Service,72092,9999-01-01
11019,Leon,Huttel,M,d005,Development,69387,9999-01-01
11319,Pranas,Marrakchi,F,d005,Development,40000,9999-01-01
11320,Atilio,McAlpine,M,d001,Marketing,45118,9999-01-01
11322,Nathalie,Pocchiola,F,d006,Quality Management,43021,9999-01-01
11324,Kauko,Billingsley,F,d004,Production,54288,9999-01-01
11021,Srinidhi,Henders,F,d008,Research,62670,9999-01-01
11027,Remzi,Cappello,M,d004,Production,40000,9999-01-01
11031,Ottavia,Walstra,M,d001,Marketing,71654,9999-01-01
11338,Kwangsub,Hanratty,M,d007,Sales,82210,9999-01-01
11037,Lansing,Maliniak,M,d004,Production,40000,9999-01-01
11038,Jinya,Beidas,M,d008,Research,44993,9999-01-01
11339,Flemming,Massonet,M,d004,Production,40000,9999-01-01
11347,Anneli,Jonsson,M,d005,Development,41524,9999-01-01
11042,Gou,Breugel,F,d005,Development,40000,9999-01-01
11048,Jaques,Demke,M,d007,Sales,65697,9999-01-01
11365,Toshimi,Shinomoto,M,d004,Production,56463,9999-01-01
11050,Elvis,Katiyar,M,d001,Marketing,52251,9999-01-01
11376,Valery,Suomi,M,d008,Research,46964,9999-01-01
11051,Przemyslawa,Erol,F,d004,Production,40000,9999-01-01
11380,Kenroku,Pelc,M,d005,Development,53345,9999-01-01
11070,Adib,Raney,M,d006,Quality Management,40000,9999-01-01
11385,Shiv,Ullian,M,d004,Production,40000,9999-01-01
11386,Alselm,Assaf,F,d006,Quality Management,47726,9999-01-01
11393,Junsik,Junot,M,d004,Production,40000,9999-01-01
11081,Barry,Boyle,M,d002,Finance,65686,9999-01-01
11398,Oscar,Peir,M,d002,Finance,44625,9999-01-01
11404,Bedrich,Borovoy,M,d005,Development,42907,9999-01-01
11085,Hailing,Thummel,M,d004,Production,66437,9999-01-01
11415,Sanjiv,Anido,M,d004,Production,40000,9999-01-01
11100,Berna,Cochrane,M,d008,Research,40000,9999-01-01
11421,Josyula,Msuda,F,d004,Production,52416,9999-01-01
11441,Marlo,Aingworth,M,d007,Sales,67352,9999-01-01
11106,Aris,Iwayama,F,d005,Development,71446,9999-01-01
11449,Kotesh,Asser,M,d004,Production,61434,9999-01-01
11506,Rance,Picel,F,d007,Sales,89747,9999-01-01
11459,Duke,Suomi,M,d003,Human Resources,40000,9999-01-01
11469,Guttorm,Giaccio,M,d004,Production,44625,9999-01-01
11673,Henk,Felder,F,d004,Production,40000,9999-01-01
11676,Valeri,Ferriere,F,d004,Production,43310,9999-01-01
11681,Fumitake,Benzmuller,F,d004,Production,40000,9999-01-01
11684,Oksana,Gide,F,d001,Marketing,68753,9999-01-01
11509,Aleksander,Feldhoffer,M,d005,Development,40000,9999-01-01
11696,Dante,Rothe,M,d007,Sales,51633,9999-01-01
11513,Otmar,Mahnke,M,d002,Finance,82525,9999-01-01
11515,Ulf,Basawa,F,d007,Sales,70182,9999-01-01
11518,Jinxi,Oxman,M,d003,Human Resources,40000,9999-01-01
11524,Xiadong,Standera,M,d005,Development,41081,9999-01-01
11527,Alagu,Boyle,M,d001,Marketing,60212,9999-01-01
11732,Sanjoy,Ranft,F,d009,Customer Service,40000,9999-01-01
11528,Zito,Dolinsky,M,d004,Production,44026,9999-01-01
11735,Amalendu,Picci,M,d009,Customer Service,40000,9999-01-01
11537,DAIDA,Pehl,M,d007,Sales,96023,9999-01-01
11746,Koichi,Marrakchi,F,d007,Sales,55951,9999-01-01
11751,Jiafu,Emiris,M,d008,Research,40000,9999-01-01
11554,Subhash,Taubenfeld,M,d001,Marketing,46065,9999-01-01
11555,Kotesh,Perfilyeva,M,d003,Human Resources,40000,9999-01-01
11567,Teiji,Mitzlaff,M,d007,Sales,86261,9999-01-01
11764,Sanjay,Anick,F,d004,Production,64875,9999-01-01
11568,Martins,Fujisaki,M,d005,Development,54673,9999-01-01
11769,Chandrasekaran,Lampe,M,d005,Development,40000,9999-01-01
11603,Herb,Swen,F,d002,Finance,69180,9999-01-01
11772,Gaurav,Penz,F,d005,Development,61295,9999-01-01
11797,Chenxi,Thambidurai,M,d001,Marketing,88050,9999-01-01
11810,Amabile,Bhattacharjee,M,d005,Development,41256,9999-01-01
11817,Niranjan,Markovitch,M,d007,Sales,50638,9999-01-01
11607,Tomokazu,Foong,F,d004,Production,49584,9999-01-01
11615,Shem,Isaak,F,d007,Sales,46591,9999-01-01
11832,Arto,Zlotek,M,d005,Development,40000,9999-01-01
11624,Adil,Gammage,M,d004,Production,42001,9999-01-01
11844,Shawna,Demeyer,M,d005,Development,78049,9999-01-01
11628,Fan,Malinowski,M,d008,Research,43966,9999-01-01
11853,Zeljko,Kusakabe,F,d001,Marketing,61941,9999-01-01
11640,Valeri,Coorg,M,d005,Development,52520,9999-01-01
11857,Divier,Farrag,F,d007,Sales,94805,9999-01-01
11864,Pradeep,Kriebel,F,d009,Customer Service,52517,9999-01-01
11871,Nalini,Sommen,M,d005,Development,67424,9999-01-01
11872,Cheong,Riexinger,M,d001,Marketing,43159,9999-01-01
11647,Magy,Nitsche,M,d005,Development,40000,9999-01-01
11660,Gill,Stenning,F,d007,Sales,65758,9999-01-01
11894,Mitchel,Validov,M,d005,Development,56198,9999-01-01
12036,Mads,Ratzlaff,M,d007,Sales,67143,9999-01-01
11897,Cordelia,Setlzner,M,d007,Sales,80049,9999-01-01
11906,Hideo,Boguraev,F,d005,Development,81324,9999-01-01
11915,Miomir,Mawatari,M,d004,Production,58042,9999-01-01
12037,Arunas,Katzenelson,M,d009,Customer Service,47805,9999-01-01
12050,Yuchang,Tchuente,F,d004,Production,46704,9999-01-01
11931,Gunilla,Chiodo,F,d008,Research,73369,9999-01-01
11933,Basil,Erman,M,d005,Development,56130,9999-01-01
12062,Margareta,Worfolk,M,d003,Human Resources,44199,9999-01-01
11949,Martijn,Harbusch,M,d004,Production,40000,9999-01-01
11983,Jaana,Hedayat,M,d005,Development,40000,9999-01-01
11993,Marit,Dalphin,M,d003,Human Resources,56505,9999-01-01
12011,Zhilian,Coorg,F,d007,Sales,85833,9999-01-01
12221,Vincent,Melter,M,d005,Development,56736,9999-01-01
12069,Ayonca,Burnard,M,d005,Development,51928,9999-01-01
12222,Abdelwaheb,Holburn,F,d002,Finance,55840,9999-01-01
12223,Niteen,Koyama,F,d004,Production,54459,9999-01-01
12070,Ger,Shokrollahi,M,d005,Development,50233,9999-01-01
12076,Karlis,Siprelle,F,d007,Sales,75381,9999-01-01
12082,Xinan,Yamaashi,M,d007,Sales,72118,9999-01-01
12247,Subbu,Penttonen,F,d005,Development,59183,9999-01-01
12089,Bilhanan,Socorro,M,d003,Human Resources,46288,9999-01-01
12249,Eldridge,Sadowski,M,d005,Development,70099,9999-01-01
12256,Guadalupe,Reghbati,F,d003,Human Resources,40000,9999-01-01
12099,Nobuyoshi,Kuzuoka,M,d007,Sales,104610,9999-01-01
12264,Mart,Pagter,M,d005,Development,51816,9999-01-01
12270,Shakhar,Kornyak,M,d008,Research,52840,9999-01-01
12272,Behnaam,Grandbois,F,d003,Human Resources,43811,9999-01-01
12112,Satyanarayana,Avouris,M,d002,Finance,76538,9999-01-01
12122,Satoru,Krone,F,d004,Production,46398,9999-01-01
12308,Mototsugu,Cronau,M,d003,Human Resources,58741,9999-01-01
12311,Susanne,Lubachevsky,M,d005,Development,40000,9999-01-01
12123,Xiahua,Syrzycki,F,d008,Research,64879,9999-01-01
12125,Shounak,Erman,F,d004,Production,41215,9999-01-01
12149,Suebskul,Grandbois,M,d007,Sales,109934,9999-01-01
12327,DAIDA,Bruckman,M,d005,Development,67449,9999-01-01
12341,Rasiah,Luga,M,d005,Development,40000,9999-01-01
12159,Shem,Perly,M,d005,Development,61210,9999-01-01
12343,Sorina,Slaats,M,d004,Production,52134,9999-01-01
12165,Xiaobin,Maquelin,F,d005,Development,41951,9999-01-01
12365,Kamakshi,Bisiani,M,d004,Production,40000,9999-01-01
12183,Harngdar,Iisaku,M,d006,Quality Management,40000,9999-01-01
12373,Mooi,Driscoll,F,d007,Sales,75986,9999-01-01
12192,Feiyu,Klyachko,F,d006,Quality Management,41625,9999-01-01
12395,Sanjit,Felder,M,d002,Finance,66909,9999-01-01
12205,Sushant,Rossi,M,d005,Development,40000,9999-01-01
12399,Mihalis,Luga,M,d007,Sales,85582,9999-01-01
12206,Barton,Janetzko,F,d005,Development,40000,9999-01-01
12218,Yaghout,Strooper,M,d006,Quality Management,40000,9999-01-01
12596,Breannda,Roisin,M,d003,Human Resources,40000,9999-01-01
12411,Shao,Ibel,M,d007,Sales,97610,9999-01-01
12413,Hugh,Gadepally,F,d004,Production,53179,9999-01-01
12417,Dannz,Spelt,F,d004,Production,67342,9999-01-01
12422,Berhard,Demos,F,d003,Human Resources,71376,9999-01-01
12601,Ghassan,Simkin,M,d005,Development,41714,9999-01-01
12608,Nectarios,Mondadori,M,d003,Human Resources,40000,9999-01-01
12635,Xinyu,Restivo,F,d009,Customer Service,40000,9999-01-01
12454,Kerryn,Farris,F,d007,Sales,41347,9999-01-01
12464,Shai,Milicic,F,d007,Sales,50448,9999-01-01
12475,Filipe,Roison,M,d005,Development,40000,9999-01-01
12638,Yuqun,Seiwald,F,d005,Development,56677,9999-01-01
12487,Mona,Reghbati,F,d002,Finance,40000,9999-01-01
12642,Suebskul,Gips,F,d001,Marketing,68271,9999-01-01
12489,Arnould,Munck,F,d005,Development,63306,9999-01-01
12490,Jackson,Muchinsky,F,d005,Development,40000,9999-01-01
12651,Pragnesh,Bael,M,d007,Sales,75150,9999-01-01
12497,Stein,Penz,M,d007,Sales,81191,9999-01-01
12501,Morrie,Matheson,F,d002,Finance,76082,9999-01-01
12504,Adly,Rosaz,F,d004,Production,40000,9999-01-01
12662,Leucio,Alvarado,M,d005,Development,69016,9999-01-01
12514,Tomofumi,Melter,M,d005,Development,54241,9999-01-01
12663,Nobuyoshi,Stellhorn,M,d005,Development,49966,9999-01-01
12664,Zhonghua,Parveen,M,d009,Customer Service,40000,9999-01-01
12528,Conor,Cincotta,F,d009,Customer Service,40000,9999-01-01
12689,Luerbio,Boudaillier,M,d005,Development,59689,9999-01-01
12534,Yongmao,Gerlach,M,d004,Production,66715,9999-01-01
12541,Shih,Nanard,M,d007,Sales,93105,9999-01-01
12542,Kazuhide,Bouloucos,F,d003,Human Resources,44176,9999-01-01
12551,Jeane,Tzvieli,M,d004,Production,40000,9999-01-01
12553,Aral,Vesna,M,d003,Human Resources,40000,9999-01-01
12557,Stafford,Kopetz,M,d004,Production,41840,9999-01-01
12691,Oddvar,Gils,M,d004,Production,48493,9999-01-01
12697,Uri,Brizzi,M,d003,Human Resources,40000,9999-01-01
12709,Ronghao,Botman,M,d005,Development,45510,9999-01-01
12589,Anoosh,Chleq,M,d005,Development,59441,9999-01-01
12717,Tzu,Jiafu,F,d008,Research,53194,9999-01-01
12722,Elliott,Cheshire,F,d002,Finance,62325,9999-01-01
12726,Fumitake,Panwar,M,d005,Development,61177,9999-01-01
12729,Nahla,Rahier,F,d009,Customer Service,51796,9999-01-01
12790,Gunilla,Perl,F,d007,Sales,87760,9999-01-01
12731,Yongmao,Waymire,F,d003,Human Resources,40000,9999-01-01
12795,Masoud,Fordan,M,d002,Finance,56969,9999-01-01
12798,Lillian,Beeson,F,d007,Sales,81145,9999-01-01
12732,Mara,Takanami,M,d007,Sales,74436,9999-01-01
12803,Gad,Boissier,M,d001,Marketing,91789,9999-01-01
12734,Gil,Frijda,M,d005,Development,40000,9999-01-01
12755,Rildo,Rodite,F,d003,Human Resources,40196,9999-01-01
12815,Sushant,Junot,M,d008,Research,65073,9999-01-01
12819,Mountaz,Gubsky,M,d004,Production,48455,9999-01-01
12773,Jenwei,Lovengreen,M,d005,Development,65556,9999-01-01
12848,Kazuhide,Smeets,M,d005,Development,40000,9999-01-01
12863,Leif,Matheson,M,d004,Production,62803,9999-01-01
12977,Byong,Markovitch,M,d005,Development,61326,9999-01-01
12872,Marl,Schmittgen,F,d007,Sales,56040,9999-01-01
12879,Baruch,Eugenio,M,d005,Development,40000,9999-01-01
12890,Neven,Casley,F,d007,Sales,66803,9999-01-01
12893,Licheng,Crouzet,M,d007,Sales,50803,9999-01-01
12895,Roddy,Serot,M,d004,Production,40000,9999-01-01
12983,Elliott,Hambrick,F,d002,Finance,57252,9999-01-01
12905,Munehiro,Gecsei,M,d005,Development,58659,9999-01-01
13030,Yahiko,Kroll,M,d001,Marketing,51770,9999-01-01
12926,Heekeun,Luby,M,d008,Research,68314,9999-01-01
12940,Odinaldo,Farrar,F,d005,Development,49760,9999-01-01
12941,Tommaso,Perelgut,F,d005,Development,67069,9999-01-01
12949,Geoff,Asrin,F,d005,Development,40000,9999-01-01
13046,Vivian,Stafford,M,d002,Finance,40000,9999-01-01
13146,Haldon,Erie,M,d007,Sales,61398,9999-01-01
13147,Shichao,Ginesta,M,d007,Sales,77429,9999-01-01
13156,Akeel,Millington,M,d005,Development,48285,9999-01-01
13165,Lucian,Benner,F,d006,Quality Management,42796,9999-01-01
13168,Munir,Stentiford,F,d004,Production,49210,9999-01-01
13170,Cheong,Bernardeschi,M,d003,Human Resources,49012,9999-01-01
13171,Anoosh,Birnbaum,M,d006,Quality Management,40000,9999-01-01
13173,Arve,Horswill,M,d007,Sales,46354,9999-01-01
13179,Moty,Janocha,M,d007,Sales,90233,9999-01-01
13182,Kokou,Rodite,M,d004,Production,46832,9999-01-01
13186,Kyoichi,Barbanera,M,d007,Sales,93138,9999-01-01
13192,Rosita,Flowers,M,d004,Production,43986,9999-01-01
13047,Atilio,Chelton,M,d005,Development,52323,9999-01-01
13202,Aram,Scharstein,F,d008,Research,51915,9999-01-01
13075,Rosella,Morrin,M,d001,Marketing,40000,9999-01-01
13210,Jianhua,Klassen,M,d001,Marketing,83961,9999-01-01
13213,Hein,Billawala,M,d007,Sales,61131,9999-01-01
13076,Deniz,Skafidas,F,d005,Development,50582,9999-01-01
13232,Mitchel,Fujisaki,F,d005,Development,40000,9999-01-01
13233,Alselm,Chvatal,M,d005,Development,49414,9999-01-01
13096,Ibibia,Armand,M,d006,Quality Management,52544,9999-01-01
13238,Ebru,Foote,F,d007,Sales,40000,9999-01-01
13240,King,Pileggi,M,d005,Development,49018,9999-01-01
13250,Zeydy,Schusler,M,d004,Production,47829,9999-01-01
13103,Srinidhi,Ellozy,F,d005,Development,40000,9999-01-01
13124,Quingbo,Garnick,F,d007,Sales,73785,9999-01-01
13272,Arun,Jiang,F,d009,Customer Service,40000,9999-01-01
13276,Yechiam,Seuren,M,d002,Finance,65836,9999-01-01
13288,Muneo,Broomell,F,d003,Human Resources,40000,9999-01-01
13291,Georg,Stamatiou,M,d005,Development,54720,9999-01-01
13133,Guther,Senzako,M,d009,Customer Service,67777,9999-01-01
13302,Mack,Alencar,F,d005,Development,40000,9999-01-01
13134,Lorien,Chepyzhov,M,d004,Production,51227,9999-01-01
13315,Sakthirel,Stroustrup,F,d005,Development,40000,9999-01-01
13144,Persi,Nollmann,M,d002,Finance,52825,9999-01-01
13524,Chaoyi,Porotnikoff,F,d007,Sales,52849,9999-01-01
13332,Nidapan,Pearson,F,d004,Production,40000,9999-01-01
13333,Yoshinari,Hennebert,M,d004,Production,50997,9999-01-01
13341,Bodh,Doering,F,d001,Marketing,40000,9999-01-01
13343,Heon,Usery,M,d002,Finance,40000,9999-01-01
13535,Arunas,Schlenzig,F,d004,Production,40000,9999-01-01
13368,Kiyokazu,Klassen,M,d003,Human Resources,52872,9999-01-01
13546,Aimee,Brookner,F,d004,Production,50295,9999-01-01
13371,Nakhoon,Riexinger,F,d004,Production,40000,9999-01-01
13373,Juichirou,Naumovich,M,d003,Human Resources,82749,9999-01-01
13549,Matk,Koprowski,M,d005,Development,40000,9999-01-01
13385,Claudi,Buchter,M,d003,Human Resources,40000,9999-01-01
13386,Khosrow,Sgarro,F,d005,Development,91420,9999-01-01
13389,Divine,Cmelik,F,d008,Research,40000,9999-01-01
13552,Ingmar,Capobianchi,M,d008,Research,73346,9999-01-01
13576,Jungsoon,Engberts,F,d005,Development,73022,9999-01-01
13392,Fumitake,Beidas,F,d007,Sales,69221,9999-01-01
13605,Dmitry,Encarnacion,F,d007,Sales,70404,9999-01-01
13396,Chuanyi,Aumann,F,d009,Customer Service,40000,9999-01-01
13402,Augustine,Dulli,M,d008,Research,40000,9999-01-01
13405,Randy,Baba,F,d007,Sales,60799,9999-01-01
13407,Gio,Chenoweth,M,d004,Production,60348,9999-01-01
13408,Sreekrishna,Lagarias,M,d004,Production,52479,9999-01-01
13415,Nathalie,Speer,F,d006,Quality Management,61838,9999-01-01
13422,Vishwani,Gerlach,F,d006,Quality Management,59466,9999-01-01
13621,Fei,Haddadi,M,d005,Development,73192,9999-01-01
13442,Giordano,Miake,M,d003,Human Resources,40000,9999-01-01
13443,Mayuko,Puppo,M,d006,Quality Management,40000,9999-01-01
13624,Zhigen,Yurek,M,d003,Human Resources,40000,9999-01-01
13445,Renee,Dehkordi,M,d004,Production,53194,9999-01-01
13629,Dzung,Trelles,M,d005,Development,40000,9999-01-01
13451,Gretta,Weiland,M,d003,Human Resources,40000,9999-01-01
13457,Shooichi,Parfitt,M,d006,Quality Management,40812,9999-01-01
13458,Feipei,Nivat,F,d009,Customer Service,41375,9999-01-01
13648,Zejun,Lamba,F,d004,Production,47723,9999-01-01
13463,Theron,Berstel,F,d004,Production,40000,9999-01-01
13465,Sasan,Rehfuss,M,d004,Production,49821,9999-01-01
13653,Kristen,Iivonen,M,d003,Human Resources,53242,9999-01-01
13670,Moti,Takanami,F,d005,Development,40000,9999-01-01
13493,Uinam,Jullig,F,d005,Development,40000,9999-01-01
13504,Parto,Mandell,F,d005,Development,41895,9999-01-01
13680,Denny,Speer,M,d007,Sales,46968,9999-01-01
13685,Weicheng,Hockney,F,d005,Development,48322,9999-01-01
13697,Shuichi,Weedon,M,d005,Development,40000,9999-01-01
13704,Vishu,Kumaresan,F,d004,Production,40000,9999-01-01
13894,Ult,Schonegge,F,d004,Production,48958,9999-01-01
13721,Sugwoo,Delgrossi,F,d007,Sales,64754,9999-01-01
13727,Vitali,Merey,M,d003,Human Resources,50798,9999-01-01
13738,Bangqing,Mitchem,F,d005,Development,48349,9999-01-01
13904,Youngkon,Cairo,M,d005,Development,73885,9999-01-01
13934,Shiv,Bratsberg,F,d005,Development,46507,9999-01-01
13766,Tremaine,Heemskerk,M,d009,Customer Service,43748,9999-01-01
13769,Yakichi,Trogemann,F,d007,Sales,61025,9999-01-01
13775,Arve,Maierhofer,M,d007,Sales,70161,9999-01-01
13786,Takushi,Berendt,F,d007,Sales,74494,9999-01-01
13787,Xiaobin,Sinicrope,F,d004,Production,40000,9999-01-01
13942,Elzbieta,Esteva,M,d005,Development,40000,9999-01-01
13792,Valery,Sury,M,d002,Finance,59127,9999-01-01
13951,Mooi,Genther,F,d007,Sales,82054,9999-01-01
13796,Paloma,Thorelli,M,d005,Development,50962,9999-01-01
13809,Kiyotoshi,Basagni,M,d009,Customer Service,43735,9999-01-01
13960,Nechama,Hettesheimer,M,d002,Finance,43204,9999-01-01
13815,Guadalupe,Plotkin,M,d004,Production,40000,9999-01-01
13825,Arlette,Pell,M,d004,Production,54704,9999-01-01
13962,Maris,Ghelli,M,d004,Production,67965,9999-01-01
13966,Boguslaw,Cooman,F,d009,Customer Service,40000,9999-01-01
13841,Christophe,Spinelli,M,d006,Quality Management,52277,9999-01-01
13842,Juichirou,Cichocki,F,d008,Research,40000,9999-01-01
13969,Jianwen,Chandrasekhar,F,d005,Development,60392,9999-01-01
13846,Guiseppe,Welham,M,d008,Research,61097,9999-01-01
13853,Mingsen,Roohalamini,M,d008,Research,61615,9999-01-01
13859,Anoosh,Fujisawa,M,d005,Development,40000,9999-01-01
